2021-10-23;18:47:32;FBTP0621.NaE-last data 1880
2021-10-23;18:47:33;FBTP0621.NaE-last data 1881
2021-10-23;18:47:33;FBTP0621.NaE-last data 1882
2021-10-23;18:47:34;FBTP0621.NaE-last data 1883
2021-10-23;18:47:34;FBTP0621.NaE-last data 1884
2021-10-23;18:47:35;FBTP0621.NaE-last data 1885
2021-10-23;18:47:35;FBTP0621.NaE-last data 1886
2021-10-23;18:47:36;FBTP0621.NaE-last data 1887
2021-10-23;18:47:36;FBTP0621.NaE-last data 1888
2021-10-23;18:47:37;FBTP0621.NaE-last data 1889
2021-10-23;18:47:37;FBTP0621.NaE-last data 1890
2021-10-23;18:47:38;FBTP0621.NaE-last data 1891
2021-10-23;18:47:39;FBTP0621.NaE-last data 1892
2021-10-23;18:47:39;FBTP0621.NaE-last data 1893
2021-10-23;18:47:40;FBTP0621.NaE-last data 1894
2021-10-23;18:47:40;FBTP0621.NaE-last data 1895
2021-10-23;18:47:41;FBTP0621.NaE-last data 1896
2021-10-23;18:47:41;FBTP0621.NaE-last data 1897
2021-10-23;18:47:42;FBTP0621.NaE-last data 1898
2021-10-23;18:47:42;FBTP0621.NaE-last data 1899
2021-10-23;18:47:43;FBTP0621.NaE-last data 1900
2021-10-23;18:47:43;FBTP0621.NaE-last data 1901
2021-10-23;18:47:44;FBTP0621.NaE-last data 1902
2021-10-23;18:47:44;FBTP0621.NaE-last data 1903
2021-10-23;18:47:45;FBTP0621.NaE-last data 1904
2021-10-23;18:47:45;FBTP0621.NaE-last data 1905
2021-10-23;18:47:46;FBTP0621.NaE-last data 1906
2021-10-23;18:47:46;FBTP0621.NaE-last data 1907
2021-10-23;18:47:47;FBTP0621.NaE-last data 1908
2021-10-23;18:47:47;FBTP0621.NaE-last data 1909
2021-10-23;18:47:48;FBTP0621.NaE-last data 1910
2021-10-23;18:47:48;FBTP0621.NaE-last data 1911
2021-10-23;18:47:49;FBTP0621.NaE-last data 1912
2021-10-23;18:47:49;FBTP0621.NaE-last data 1913
2021-10-23;18:47:50;FBTP0621.NaE-last data 1914
2021-10-23;18:47:50;FBTP0621.NaE-last data 1915
2021-10-23;18:47:51;FBTP0621.NaE-last data 1916
2021-10-23;18:47:51;FBTP0621.NaE-last data 1917
2021-10-23;18:47:52;FBTP0621.NaE-last data 1918
2021-10-23;18:47:52;FBTP0621.NaE-last data 1919
2021-10-23;18:47:53;FBTP0621.NaE-last data 1920
